source,model,point,block,name,description,longdescription,dtype,unit,category,meanings,labels
ss40k_inverter,40100,ID,fixed,ID,ID,ID Data code: 40100.ID,uint16,N/A,General,,
ss40k_inverter,40100,L,fixed,L,L,L Data code: 40100.L,uint16,N/A,General,,
ss40k_inverter,40100,siteID,fixed,siteID,site ID,site ID Data code: 40100.siteID,uint32,N/A,Site information,,
ss40k_inverter,40100,reserved1,fixed,reserved1,Reserved,Reserved Data code: 40100.reserved1,string,N/A,Site information,,
ss40k_inverter,40100,Mn,fixed,Mn,Equipment manufacturer,Equipment manufacturer Data code: 40100.Mn,string,N/A,PCS information,,
ss40k_inverter,40100,Md,fixed,Md,Device model identifier,Identifies the specific hardware model of the inverter as reported by the power conversion system (PCS). Used for tracking firmware compatibility and diagnostic reference. Data code: 40100.Md,string,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate
ss40k_inverter,40100,SN,fixed,SN,Device serial number,Unique serial number assigned to this inverter at manufacturing. Used to identify the physical unit for service Data code: 40100.SN,string,N/A,PCS information,,
ss40k_inverter,40100,vNom,fixed,vNom,Nominal AC voltage,Rated AC output voltage of the inverter under standard conditions. Indicates the design voltage of the grid interface. Data code: 40100.vNom,uint16,V,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Unit: Volt
ss40k_inverter,40100,fNom,fixed,fNom,Nominal AC frequency,Rated output frequency of the inverter when synchronized to the grid. Defines the system's base frequency for grid operation. Data code: 40100.fNom,uint16,Hz,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Unit: Freq
ss40k_inverter,40100,pNom,fixed,pNom,Nominal active power,Rated continuous active power output of the inverter at nominal operating conditions. Indicates maximum sustained real power delivery capability. Data code: 40100.pNom,uint32,W,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Unit: Power
ss40k_inverter,40100,sNom,fixed,sNom,Nominal apparent power,Rated continuous apparent power capacity (combined real and reactive components). Defines total output capability at rated voltage and frequency. Data code: 40100.sNom,uint32,VA,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Unit: Power
ss40k_inverter,40100,hwVer,fixed,hwVer,Hardware version,"Indicates the inverter hardware revision. Useful for verifying component compatibility, field updates, and service documentation. Data code: 40100.hwVer",uint16,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate
ss40k_inverter,40100,verDspMaster,fixed,verDspMaster,Master DSP firmware version,Firmware version of the main digital signal processor controlling inverter power conversion. Used for compatibility tracking and diagnostic support. Data code: 40100.verDspMaster,string,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Feature: Firmware
ss40k_inverter,40100,verDspSlave,fixed,verDspSlave,Slave DSP firmware version,Firmware version of the secondary DSP module responsible for parallel or auxiliary control functions. Used for synchronization and troubleshooting. Data code: 40100.verDspSlave,string,N/A,PCS information,,Level of Detail: Complete; Equipment: Inverter; Component: AC Side; Type of Data: Nameplate; Feature: Firmware
